player1,year,round,winner,player2,winner1,winner2,error1,error2,total1,total2
Marat Safin,2005,First,Marat Safin,Novak Djokovic,19,4,20,30,83,34
Marat Safin,2007,Second,Marat Safin,Dudi Sela,51,38,55,33,160,148
Marat Safin,2007,First,Marat Safin,Benjamin Becker,43,55,50,62,160,155
Marat Safin,2008,First,Marat Safin,Ernests Gulbis,16,28,27,43,109,84
Marat Safin,2009,Second,Marat Safin,Guillermo Garcia-Lopez,31,19,23,35,95,67
Marat Safin,2009,First,Marat Safin,Ivan Navarro,36,22,26,21,96,79
Mardy Fish,2005,First,Mardy Fish,Juan Monaco,69,33,81,46,168,155
Mardy Fish,2007,Fourth,Mardy Fish,David Ferrer,54,29,53,23,126,112
Mardy Fish,2007,Third,Mardy Fish,Wayne Arthurs,7,1,0,5,12,2
Mardy Fish,2007,Second,Mardy Fish,Nicolas Mahut,54,44,46,26,131,123
Mardy Fish,2007,First,Mardy Fish,Ivan Ljubicic,45,54,33,31,136,129
Mardy Fish,2008,Second,Mardy Fish,Tommy Robredo,39,8,24,18,91,61
Mardy Fish,2008,First,Mardy Fish,Boris Pashanski,NA,NA,NA,NA,125,103
Mardy Fish,2009,Second,Mardy Fish,Simone Bolelli,NA,NA,NA,NA,100,75
Mardy Fish,2009,First,Mardy Fish,Samuel Groth,44,41,28,48,134,104
Mardy Fish,2011,First,Mardy Fish,Victor Hanescu,70,52,50,42,143,141
Mardy Fish,2012,First,Mardy Fish,Gilles Muller,30,30,12,39,97,73
Stanislas Wawrinka,2006,First,Stanislas Wawrinka,Albert Montanes,37,22,40,37,106,86
Stanislas Wawrinka,2007,Second,Stanislas Wawrinka,Paul Capdeville,38,15,32,29,90,66
Stanislas Wawrinka,2007,First,Stanislas Wawrinka,Kevin Kim,45,31,27,29,113,92
Stanislas Wawrinka,2009,Second,Stanislas Wawrinka,Brydan Klein,32,22,23,33,100,81
Stanislas Wawrinka,2009,First,Stanislas Wawrinka,Ivo Minar,NA,NA,NA,NA,123,113
Stanislas Wawrinka,2010,Second,Stanislas Wawrinka,Igor Kunitsyn,30,10,43,37,92,70
Stanislas Wawrinka,2010,First,Stanislas Wawrinka,Guillermo Garcia-Lopez,27,13,27,40,93,63
Stanislas Wawrinka,2011,Fourth,Stanislas Wawrinka,Andy Roddick,67,24,19,19,106,85
Stanislas Wawrinka,2011,Third,Stanislas Wawrinka,Gael Monfils,57,26,35,34,120,95
Stanislas Wawrinka,2011,Second,Stanislas Wawrinka,Grigor Dimitrov,26,23,11,27,91,71
Stanislas Wawrinka,2011,First,Stanislas Wawrinka,Teimuraz Gabashvili,39,36,42,52,116,102
Stanislas Wawrinka,2012,Second,Stanislas Wawrinka,Marcos Baghdatis,41,19,67,59,146,124
Stanislas Wawrinka,2012,First,Stanislas Wawrinka,Benoit Paire,24,24,20,42,109,72
Stanislas Wawrinka,2013,Third,Stanislas Wawrinka,Sam Querrey,45,43,31,29,111,105
Stanislas Wawrinka,2013,Second,Stanislas Wawrinka,Tobias Kamke,34,11,51,26,90,82
Stanislas Wawrinka,2013,First,Stanislas Wawrinka,Cedrik-Marcel Stebe,3,0,1,2,90,64
Stanislas Wawrinka,2014,Final,Stanislas Wawrinka,Rafael Nadal,53,19,49,32,116,88
Stanislas Wawrinka,2014,semi,Stanislas Wawrinka,Tomas Berdych,57,60,49,49,143,142
Stanislas Wawrinka,2014,quarter,Stanislas Wawrinka,Novak Djokovic,51,45,60,60,153,161
Stanislas Wawrinka,2014,Fourth,Stanislas Wawrinka,Tommy Robredo,57,24,37,22,118,96
Stanislas Wawrinka,2014,Second,Stanislas Wawrinka,Alejandro Falla,61,26,46,37,142,117
Stanislas Wawrinka,2014,First,Stanislas Wawrinka,Andrey Golubev,23,8,11,15,54,37
David Ferrer,2004,First,David Ferrer,Gilles Muller,21,23,27,45,100,77
David Ferrer,2006,Third,David Ferrer,Mario Ancic,20,24,16,35,94,76
David Ferrer,2006,Second,David Ferrer,Daniele Bracciali,23,44,39,84,145,118
David Ferrer,2006,First,David Ferrer,Florent Serra,39,35,37,69,141,121
David Ferrer,2007,Third,David Ferrer,Radek Stepanek,43,50,58,85,179,159
David Ferrer,2007,Second,David Ferrer,Thomas Johansson,41,29,32,48,121,96
David Ferrer,2007,First,David Ferrer,Kristian Pless,26,32,39,55,110,98
David Ferrer,2008,Fourth,David Ferrer,Juan Carlos Ferrero,44,30,36,41,138,120
David Ferrer,2008,Third,David Ferrer,Vince Spadea,30,23,14,27,97,73
David Ferrer,2008,Second,David Ferrer,Juan Martin Del Potro,15,22,21,43,73,61
David Ferrer,2008,First,David Ferrer,Edouard Roger-Vasselin,30,15,15,34,89,46
David Ferrer,2009,Second,David Ferrer,Dominik Hrbaty,20,6,18,34,78,34
David Ferrer,2009,First,David Ferrer,Denis Gremelmayr,58,58,68,84,192,163
David Ferrer,2010,First,David Ferrer,Frederico Gil,13,1,11,26,61,21
David Ferrer,2011,quarter,David Ferrer,Rafael Nadal,44,19,32,34,102,75
David Ferrer,2011,Fourth,David Ferrer,Milos Raonic,23,57,10,68,131,109
David Ferrer,2011,Third,David Ferrer,Richard Berankis,23,18,15,46,95,53
David Ferrer,2011,Second,David Ferrer,Michael Russell,28,18,22,35,90,55
David Ferrer,2011,First,David Ferrer,Jarkko Nieminen,32,30,32,45,107,86
David Ferrer,2012,Fourth,David Ferrer,Richard Gasquet,36,16,23,27,90,65
David Ferrer,2012,Third,David Ferrer,Juan Ignacio Chela,43,18,30,31,100,70
David Ferrer,2012,Second,David Ferrer,Ryan Sweeting,36,48,37,73,155,137
David Ferrer,2012,First,David Ferrer,Rui Machado,15,20,20,52,91,58
David Ferrer,2013,quarter,David Ferrer,Nicolas Almagro,44,51,51,75,165,150
David Ferrer,2013,Fourth,David Ferrer,Kei Nishikori,24,30,24,65,112,79
David Ferrer,2013,Third,David Ferrer,Marcos Baghdatis,25,16,30,42,91,70
David Ferrer,2013,Second,David Ferrer,Tim Smyczek,21,39,24,77,128,101
David Ferrer,2013,First,David Ferrer,Olivier Rochus,30,23,17,31,91,65
David Ferrer,2014,Fourth,David Ferrer,Florian Mayer,64,33,43,49,153,118
David Ferrer,2014,Third,David Ferrer,Jeremy Chardy,22,30,24,51,111,87
David Ferrer,2014,Second,David Ferrer,Adrian Mannarino,32,32,48,73,142,113
David Ferrer,2014,First,David Ferrer,Alejandro Gonzalez,33,22,30,41,96,75
Fabrice Santoro,2004,First,Fabrice Santoro,Peter Luczak,58,48,18,39,143,115
Fabrice Santoro,2006,Fourth,Fabrice Santoro,David Ferrer,19,53,14,41,108,92
Fabrice Santoro,2006,Third,Fabrice Santoro,Gaston Gaudio,62,73,19,37,156,152
Fabrice Santoro,2006,Second,Fabrice Santoro,Andrei Pavel,42,33,18,30,102,81
Fabrice Santoro,2006,First,Fabrice Santoro,Vince Spadea,42,47,15,45,113,84
Fabrice Santoro,2007,Second,Fabrice Santoro,Arnaud Clement,41,30,11,21,97,70
Fabrice Santoro,2007,First,Fabrice Santoro,Igor Kunitsyn,46,37,20,32,109,80
Fabrice Santoro,2008,First,Fabrice Santoro,John Isner,NA,NA,NA,NA,86,61
Fabrice Santoro,2009,Second,Fabrice Santoro,Philipp Kohlschreiber,51,94,34,69,181,174
Fabrice Santoro,2009,First,Fabrice Santoro,Juan Carlos Ferrero,36,45,24,56,123,101
Amer Delic,2006,First,Amer Delic,Potito Starace,79,50,67,34,173,168
Amer Delic,2007,First,Amer Delic,Gilles Simon,27,16,23,30,84,55
Amer Delic,2008,First,Amer Delic,Robert Kendrick,NA,NA,NA,NA,98,77
Amer Delic,2009,Second,Amer Delic,Paul-Henri Mathieu,NA,NA,NA,NA,153,158
Amer Delic,2009,First,Amer Delic,Taylor Dent,NA,NA,NA,NA,139,138
Yen-Hsun Lu,2007,First,Yen-Hsun Lu,Simon Greul,33,16,36,38,92,74
Yen-Hsun Lu,2009,Second,Yen-Hsun Lu,David Nalbandian,51,37,60,61,167,149
Yen-Hsun Lu,2009,First,Yen-Hsun Lu,Thomaz Bellucci,NA,NA,NA,NA,101,85
Yen-Hsun Lu,2012,Second,Yen-Hsun Lu,Florent Serra,4,5,2,3,106,68
Yen-Hsun Lu,2012,First,Yen-Hsun Lu,Rik de Voest,7,10,4,0,137,130
Yen-Hsun Lu,2013,First,Yen-Hsun Lu,Ruben Ramirez-Hidalgo,10,9,1,3,106,67
Yen-Hsun Lu,2014,First,Yen-Hsun Lu,Jimmy Wang,9,1,5,3,101,76
Gilles Muller,2007,First,Gilles Muller,Gaston Gaudio,55,14,39,33,112,79
Gilles Muller,2009,Second,Gilles Muller,Bernard Tomic,54,32,29,39,120,92
Gilles Muller,2011,First,Gilles Muller,Simon Stadler,NA,NA,NA,NA,109,90
Roko Karanusic,2009,First,Roko Karanusic,Florent Serra,NA,NA,NA,NA,131,126
Victor Hanescu,2005,First,Victor Hanescu,Filippo Volandri,25,43,20,37,116,96
Victor Hanescu,2009,First,Victor Hanescu,Jan Hernych,NA,NA,NA,NA,188,191
Victor Hanescu,2010,First,Victor Hanescu,Juan Ignacio Chela,NA,NA,2,8,126,96
Victor Hanescu,2014,First,Victor Hanescu,Peter Gojowczyk,24,36,34,59,121,103
Stefan Koubek,2008,Second,Stefan Koubek,Agustin Calleri,NA,NA,NA,NA,114,105
Stefan Koubek,2008,First,Stefan Koubek,Carlos Moya,59,40,59,61,162,157
Stefan Koubek,2009,First,Stefan Koubek,Mikhail Youzhny,NA,NA,NA,NA,96,65
Stefan Koubek,2010,Second,Stefan Koubek,Ivan Dodig,NA,NA,8,10,102,76
Stefan Koubek,2010,First,Stefan Koubek,Rajeev Ram,NA,NA,6,14,160,144
Ernests Gulbis,2009,First,Ernests Gulbis,Albert Montanes,NA,NA,NA,NA,80,62
Ernests Gulbis,2014,First,Ernests Gulbis,Juan Monaco,59,16,79,35,127,128
Arnaud Clement,2007,First,Arnaud Clement,Xavier Malisse,31,42,35,49,122,110
Arnaud Clement,2009,First,Arnaud Clement,Sergiy Stakhovsky,NA,NA,NA,NA,146,139
Michael Berrer,2008,First,Michael Berrer,Donald Young,38,49,53,67,172,152
Michael Berrer,2009,First,Michael Berrer,Carsten Ball,29,38,18,55,114,82
Michael Berrer,2010,First,Michael Berrer,Kristof Vliegen,40,13,19,34,88,45
Michael Berrer,2014,First,Michael Berrer,Michael Llodra,9,10,6,5,95,74
Andreas Beck,2009,First,Andreas Beck,Colin Ebelthite,NA,NA,NA,NA,92,59
Andreas Beck,2012,First,Andreas Beck,Eric Prodon,2,14,8,3,133,120
Denis Istomin,2008,First,Denis Istomin,Lukas Lacko,NA,NA,NA,NA,142,125
Denis Istomin,2009,First,Denis Istomin,Vince Spadea,NA,NA,NA,NA,101,73
Denis Istomin,2010,Second,Denis Istomin,Michael Berrer,NA,NA,4,4,107,88
Denis Istomin,2010,First,Denis Istomin,Jeremy Chardy,NA,NA,4,14,82,45
Denis Istomin,2013,First,Denis Istomin,Igor Sijsling,3,7,1,0,119,98
Denis Istomin,2014,Second,Denis Istomin,Dmitry Tursunov,46,31,34,44,127,106
Denis Istomin,2014,First,Denis Istomin,Marcos Baghdatis,41,37,41,50,126,106
Sebastien de Chaunac,2009,First,Sebastien de Chaunac,Steve Darcis,NA,NA,NA,NA,114,105
Ivan Ljubicic,2004,First,Ivan Ljubicic,Dmitry Tursunov,35,45,38,50,148,135
Ivan Ljubicic,2005,First,Ivan Ljubicic,Luis Horna,40,21,19,27,93,60
Ivan Ljubicic,2006,Fourth,Ivan Ljubicic,Thomas Johansson,39,26,16,27,97,75
Ivan Ljubicic,2006,Third,Ivan Ljubicic,Feliciano Lopez,38,32,23,41,119,94
Ivan Ljubicic,2006,Second,Ivan Ljubicic,Philipp Kohlschreiber,35,26,22,29,107,82
Ivan Ljubicic,2006,First,Ivan Ljubicic,Chris Guccione,50,45,9,17,117,103
Ivan Ljubicic,2009,First,Ivan Ljubicic,Igor Kunitsyn,NA,NA,NA,NA,180,173
Ivan Ljubicic,2010,Second,Ivan Ljubicic,Andrey Golubev,NA,NA,6,18,126,104
Ivan Ljubicic,2010,First,Ivan Ljubicic,Jason Murray Kubler,30,16,19,32,87,46
Ivan Ljubicic,2011,Second,Ivan Ljubicic,Benoit Paire,29,59,29,66,141,132
Ivan Ljubicic,2011,First,Ivan Ljubicic,Peter Luczak,57,34,38,31,118,91
Fabio Fognini,2009,First,Fabio Fognini,Andrey Golubev,NA,NA,NA,NA,136,127
Fabio Fognini,2014,Third,Fabio Fognini,Sam Querrey,43,27,26,41,108,86
Fabio Fognini,2014,Second,Fabio Fognini,Jarkko Nieminen,51,24,60,37,144,134
Fabio Fognini,2014,First,Fabio Fognini,Alex Jr. Bogomolov,21,11,31,46,78,61
Nikolay Davydenko,2004,First,Nikolay Davydenko,Arnaud Clement,53,36,51,61,166,153
Nikolay Davydenko,2005,Fourth,Nikolay Davydenko,Guillermo Canas,35,17,40,25,93,78
Nikolay Davydenko,2005,Third,Nikolay Davydenko,Tim Henman,31,21,16,32,106,83
Nikolay Davydenko,2005,Second,Nikolay Davydenko,Christophe Rochus,37,14,45,27,101,82
Nikolay Davydenko,2005,First,Nikolay Davydenko,Roko Karanusic,27,15,29,24,99,72
Nikolay Davydenko,2006,Fourth,Nikolay Davydenko,Dominik Hrbaty,31,36,60,77,161,148
Nikolay Davydenko,2006,Third,Nikolay Davydenko,Nathan Healey,47,42,38,61,144,116
Nikolay Davydenko,2006,Second,Nikolay Davydenko,Kevin Kim,30,16,38,52,115,86
Nikolay Davydenko,2006,First,Nikolay Davydenko,Ivo Karlovic,41,64,29,62,165,156
Nikolay Davydenko,2007,Fourth,Nikolay Davydenko,Tomas Berdych,40,24,47,60,139,118
Nikolay Davydenko,2007,Third,Nikolay Davydenko,Fabrice Santoro,62,19,38,16,103,77
Nikolay Davydenko,2007,Second,Nikolay Davydenko,Gilles Muller,29,26,12,33,96,70
Nikolay Davydenko,2007,First,Nikolay Davydenko,Sergio Roitman,40,19,37,33,102,75
Nikolay Davydenko,2008,Third,Nikolay Davydenko,Marc Gicquel,24,29,28,52,103,81
Nikolay Davydenko,2008,Second,Nikolay Davydenko,Nicolas Mahut,23,20,19,42,95,71
Nikolay Davydenko,2008,First,Nikolay Davydenko,Michael Llodra,31,24,22,44,108,87
Nikolay Davydenko,2010,Fourth,Nikolay Davydenko,Fernando Verdasco,37,45,51,81,171,157
Nikolay Davydenko,2010,Third,Nikolay Davydenko,Juan Monaco,22,6,30,35,87,58
Nikolay Davydenko,2010,Second,Nikolay Davydenko,Illya Marchenko,27,14,19,32,90,55
Nikolay Davydenko,2010,First,Nikolay Davydenko,Dieter Kindlmann,39,12,25,35,89,52
Nikolay Davydenko,2013,First,Nikolay Davydenko,Dudi Sela,4,1,3,2,133,118
Nikolay Davydenko,2014,First,Nikolay Davydenko,Lukasz Kubot,6,8,4,12,162,141
Lleyton Hewitt,2004,Third,Lleyton Hewitt,Rafael Nadal,28,32,37,36,111,96
Lleyton Hewitt,2004,Second,Lleyton Hewitt,Karol Kucera,33,24,34,44,110,90
Lleyton Hewitt,2004,First,Lleyton Hewitt,Cecil Mamiit,15,11,22,23,63,51
Lleyton Hewitt,2005,semi,Lleyton Hewitt,Andy Roddick,48,66,21,50,142,127
Lleyton Hewitt,2005,quarter,Lleyton Hewitt,David Nalbandian,49,36,49,59,158,153
Lleyton Hewitt,2005,Fourth,Lleyton Hewitt,Rafael Nadal,62,46,61,49,154,152
Lleyton Hewitt,2005,Third,Lleyton Hewitt,Juan Ignacio Chela,39,23,37,36,115,93
Lleyton Hewitt,2005,Second,Lleyton Hewitt,James Blake,32,29,30,50,130,112
Lleyton Hewitt,2005,First,Lleyton Hewitt,Arnaud Clement,28,15,23,32,88,63
Lleyton Hewitt,2006,First,Lleyton Hewitt,Robin Vik,56,66,61,66,173,178
Lleyton Hewitt,2007,Second,Lleyton Hewitt,Frank Dancevic,37,42,42,30,118,112
Lleyton Hewitt,2007,First,Lleyton Hewitt,Michael Russell,55,33,41,38,133,118
Lleyton Hewitt,2008,Third,Lleyton Hewitt,Marcos Baghdatis,46,73,56,80,193,181
Lleyton Hewitt,2008,Second,Lleyton Hewitt,Denis Istomin,53,52,32,42,140,117
Lleyton Hewitt,2008,First,Lleyton Hewitt,Steve Darcis,29,10,12,21,75,33
Lleyton Hewitt,2010,Third,Lleyton Hewitt,Marcos Baghdatis,8,8,8,26,46,21
Lleyton Hewitt,2010,Second,Lleyton Hewitt,Donald Young,32,30,24,42,102,76
Lleyton Hewitt,2010,First,Lleyton Hewitt,Ricardo Hocevar,33,19,26,39,88,58
Lleyton Hewitt,2012,Third,Lleyton Hewitt,Milos Raonic,27,58,32,54,129,122
Lleyton Hewitt,2012,Second,Lleyton Hewitt,Andy Roddick,41,28,27,22,88,81
Lleyton Hewitt,2012,First,Lleyton Hewitt,Cedrik-Marcel Stebe,29,59,33,64,144,137
John Isner,2010,Third,John Isner,Gael Monfils,73,34,38,28,139,118
John Isner,2010,Second,John Isner,Louk Sorensen,61,28,51,19,99,94
John Isner,2010,First,John Isner,Andreas Seppi,NA,NA,10,20,149,147
John Isner,2011,Second,John Isner,Radek Stepanek,42,14,39,28,105,82
John Isner,2011,First,John Isner,Florent Serra,60,27,38,21,108,90
John Isner,2012,Second,John Isner,David Nalbandian,88,67,69,33,181,187
John Isner,2012,First,John Isner,Benjamin Mitchell,40,27,42,32,106,88
Ivo Karlovic,2004,First,Ivo Karlovic,Mardy Fish,51,44,40,20,113,117
Ivo Karlovic,2008,Second,Ivo Karlovic,Dudi Sela,NA,NA,NA,NA,133,117
Ivo Karlovic,2008,First,Ivo Karlovic,Jamie Baker,NA,NA,NA,NA,138,124
Ivo Karlovic,2009,First,Ivo Karlovic,Daniel Gimeno-Traver,NA,NA,NA,NA,95,74
Ivo Karlovic,2010,Third,Ivo Karlovic,Ivan Ljubicic,64,43,36,25,132,117
Ivo Karlovic,2010,Second,Ivo Karlovic,Julien Benneteau,NA,NA,4,8,112,89
Ivo Karlovic,2012,Second,Ivo Karlovic,Carlos Berlocq,20,1,2,2,139,131
Ivo Karlovic,2012,First,Ivo Karlovic,Jurgen Melzer,24,2,3,8,110,96
Albert Montanes,2010,Second,Albert Montanes,Stephane Robert,69,43,57,55,174,150
Albert Montanes,2010,First,Albert Montanes,Oscar Hernandez,NA,NA,4,4,64,53
Albert Montanes,2011,First,Albert Montanes,Dustin Brown,NA,NA,NA,NA,157,149
Juan Monaco,2006,First,Juan Monaco,Jean-Rene Lisnard,35,33,49,57,128,109
Juan Monaco,2008,Second,Juan Monaco,Amer Delic,NA,NA,NA,NA,199,188
Juan Monaco,2008,First,Juan Monaco,Carlos Berlocq,40,29,26,41,108,88
Juan Monaco,2010,Second,Juan Monaco,Michael Llodra,73,53,31,46,152,137
Juan Monaco,2010,First,Juan Monaco,Ernests Gulbis,19,33,31,73,113,87
Juan Monaco,2011,First,Juan Monaco,Simon Greul,26,37,42,70,128,105
Mikhail Youzhny,2005,First,Mikhail Youzhny,Jerome Haehnel,25,19,25,27,96,62
Mikhail Youzhny,2007,Second,Mikhail Youzhny,Yen-Hsun Lu,42,27,28,19,113,95
Mikhail Youzhny,2008,Fourth,Mikhail Youzhny,Nikolay Davydenko,23,24,30,48,102,79
Mikhail Youzhny,2008,Third,Mikhail Youzhny,Ivo Karlovic,25,19,13,42,85,54
Mikhail Youzhny,2008,Second,Mikhail Youzhny,Andreas Seppi,33,37,53,58,142,128
Mikhail Youzhny,2008,First,Mikhail Youzhny,Mathieu Montcourt,35,16,33,38,103,72
Mikhail Youzhny,2010,Second,Mikhail Youzhny,Jan Hajek,25,18,13,46,85,45
Mikhail Youzhny,2010,First,Mikhail Youzhny,Richard Gasquet,79,69,80,65,187,180
Mikhail Youzhny,2011,Second,Mikhail Youzhny,Blaz Kavcic,76,35,47,40,156,133
Mikhail Youzhny,2011,First,Mikhail Youzhny,Marsel Ilhan,NA,NA,NA,NA,104,81
Mikhail Youzhny,2014,First,Mikhail Youzhny,Jan-Lennard Struff,11,20,30,61,95,66
Lukasz Kubot,2010,Second,Lukasz Kubot,Santiago Giraldo,NA,NA,12,4,136,110
Lukasz Kubot,2010,First,Lukasz Kubot,Mischa Zverev,NA,NA,6,6,95,70
Lukasz Kubot,2011,First,Lukasz Kubot,Sam Querrey,75,51,47,25,175,158
Alejandro Falla,2008,First,Alejandro Falla,Kevin Anderson,NA,NA,NA,NA,194,181
Alejandro Falla,2010,Second,Alejandro Falla,Marcel Granollers,NA,NA,8,8,99,73
Alejandro Falla,2010,First,Alejandro Falla,Marcos Daniel,NA,NA,8,16,98,76
Alejandro Falla,2012,Second,Alejandro Falla,Mardy Fish,30,35,34,58,116,102
Alejandro Falla,2012,First,Alejandro Falla,Fabio Fognini,5,2,3,8,130,107
Alejandro Falla,2013,First,Alejandro Falla,Josselin Ouanna,6,13,2,8,117,103
Alejandro Falla,2014,First,Alejandro Falla,Mikhail Kukushkin,4,2,2,3,151,128
Feliciano Lopez,2005,Second,Feliciano Lopez,Sargis Sargsian,43,24,45,34,136,127
Feliciano Lopez,2005,First,Feliciano Lopez,Paul Baccanello,32,43,13,31,104,87
Feliciano Lopez,2006,Second,Feliciano Lopez,Gilles Muller,55,43,39,43,138,125
Feliciano Lopez,2006,First,Feliciano Lopez,Tomas Behrend,36,22,38,49,112,87
Feliciano Lopez,2007,First,Feliciano Lopez,Brian Wilson,70,52,30,35,154,137
Feliciano Lopez,2008,First,Feliciano Lopez,Wayne Odesnik,NA,NA,NA,NA,95,78
Feliciano Lopez,2010,Second,Feliciano Lopez,Rainer Schuettler,42,27,57,50,117,102
Feliciano Lopez,2010,First,Feliciano Lopez,Pablo Cuevas,NA,NA,4,16,94,78
Feliciano Lopez,2011,First,Feliciano Lopez,Alejandro Falla,NA,NA,NA,NA,108,89
Feliciano Lopez,2012,Third,Feliciano Lopez,John Isner,55,64,30,51,160,140
Feliciano Lopez,2012,Second,Feliciano Lopez,Flavio Cipolla,34,32,34,36,111,92
Feliciano Lopez,2012,First,Feliciano Lopez,Leonardo Mayer,8,13,6,9,132,115
Feliciano Lopez,2013,First,Feliciano Lopez,Arnau Brugues-Davi,26,3,3,2,91,65
Feliciano Lopez,2014,Second,Feliciano Lopez,Michael Berrer,43,29,24,25,108,93
Feliciano Lopez,2014,First,Feliciano Lopez,Somdev Devvarman,12,6,2,1,110,89
Evgeny Korolev,2008,First,Evgeny Korolev,Marcel Granollers,NA,NA,NA,NA,92,59
Evgeny Korolev,2009,First,Evgeny Korolev,Carlos Moya,39,28,21,35,102,71
Evgeny Korolev,2010,Second,Evgeny Korolev,Tomas Berdych,NA,NA,10,8,104,86
Evgeny Korolev,2010,First,Evgeny Korolev,Daniel Brands,NA,NA,14,10,107,89
Florian Mayer,2004,First,Florian Mayer,Richard Gasquet,36,32,13,34,96,78
Florian Mayer,2006,First,Florian Mayer,Hyung-Taik Lee,45,29,44,47,120,100
Florian Mayer,2007,Second,Florian Mayer,Andreas Seppi,26,42,40,79,131,114
Florian Mayer,2007,First,Florian Mayer,Robin Soderling,40,45,42,56,133,126
Florian Mayer,2009,First,Florian Mayer,Lamine Ouahab,NA,NA,NA,NA,90,51
Florian Mayer,2010,Second,Florian Mayer,Viktor Troicki,NA,NA,0,18,129,114
Florian Mayer,2010,First,Florian Mayer,Philipp Petzschner,NA,NA,4,12,123,123
Florian Mayer,2011,First,Florian Mayer,Nikolay Davydenko,NA,NA,NA,NA,148,138
Florian Mayer,2013,First,Florian Mayer,Rhyne Williams,9,15,2,8,150,148
Florian Mayer,2014,Third,Florian Mayer,Jerzy Janowicz,38,34,7,44,98,63
Florian Mayer,2014,Second,Florian Mayer,Mikhail Youzhny,48,48,41,46,136,126
Florian Mayer,2014,First,Florian Mayer,Denis Kudla,25,31,23,45,101,78
Florent Serra,2007,First,Florent Serra,Nicolas Devilder,36,21,55,25,110,95
Florent Serra,2008,First,Florent Serra,Florian Mayer,NA,NA,NA,NA,126,108
Florent Serra,2010,Second,Florent Serra,Jarkko Nieminen,66,52,104,58,195,199
Florent Serra,2010,First,Florent Serra,Jurgen Melzer,NA,NA,4,14,158,134
Florent Serra,2012,First,Florent Serra,Steve Darcis,5,4,2,1,99,110
Philipp Kohlschreiber,2005,Third,Philipp Kohlschreiber,Jean-Rene Lisnard,29,28,29,36,108,81
Philipp Kohlschreiber,2005,Second,Philipp Kohlschreiber,Nicolas Massu,16,1,8,7,38,12
Philipp Kohlschreiber,2005,First,Philipp Kohlschreiber,Kenneth Carlsen,31,19,29,43,115,84
Philipp Kohlschreiber,2006,First,Philipp Kohlschreiber,Lukas Dlouhy,37,24,23,37,102,72
Philipp Kohlschreiber,2007,First,Philipp Kohlschreiber,Kristof Vliegen,55,45,38,55,140,123
Philipp Kohlschreiber,2008,Third,Philipp Kohlschreiber,Andy Roddick,NA,NA,NA,NA,0,0
Philipp Kohlschreiber,2008,Second,Philipp Kohlschreiber,Evgeny Korolev,15,21,17,33,65,53
Philipp Kohlschreiber,2008,First,Philipp Kohlschreiber,Roko Karanusic,NA,NA,NA,NA,112,94
Philipp Kohlschreiber,2009,First,Philipp Kohlschreiber,Sam Querrey,35,27,38,36,97,88
Philipp Kohlschreiber,2010,Second,Philipp Kohlschreiber,Wayne Odesnik,NA,NA,6,22,133,117
Philipp Kohlschreiber,2010,First,Philipp Kohlschreiber,Horacio Zeballos,NA,NA,8,6,100,61
Philipp Kohlschreiber,2011,First,Philipp Kohlschreiber,Tobias Kamke,NA,NA,NA,NA,160,176
Philipp Kohlschreiber,2012,Third,Philipp Kohlschreiber,Alejandro Falla,31,22,33,37,110,81
Philipp Kohlschreiber,2012,Second,Philipp Kohlschreiber,Pere Riba,16,5,7,18,45,17
Philipp Kohlschreiber,2012,First,Philipp Kohlschreiber,Juan Monaco,54,30,61,67,163,134
Philipp Kohlschreiber,2013,Second,Philipp Kohlschreiber,Amir Weintraub,40,31,14,40,104,78
Philipp Kohlschreiber,2013,First,Philipp Kohlschreiber,Steve Darcis,25,20,19,25,90,66
Stephane Robert,2010,First,Stephane Robert,Potito Starace,51,56,26,53,134,110
Stephane Robert,2014,Third,Stephane Robert,Martin Klizan,35,36,23,38,105,75
Stephane Robert,2014,Second,Stephane Robert,Michal Przysiezny,43,46,28,63,143,112
Stephane Robert,2014,First,Stephane Robert,Aljaz Bedene,22,28,22,52,104,74
Donald Young,2010,First,Donald Young,Christophe Rochus,NA,NA,12,12,126,112
Donald Young,2012,First,Donald Young,Peter Gojowczyk,5,4,7,4,132,108
Donald Young,2014,Second,Donald Young,Andreas Seppi,47,47,78,65,158,165
Donald Young,2014,First,Donald Young,Robin Haase,34,38,33,56,124,106
Ivan Sergeyev,2010,First,Ivan Sergeyev,Dudi Sela,NA,NA,14,6,157,147
Ivan Dodig,2010,First,Ivan Dodig,Juan Carlos Ferrero,NA,NA,10,6,133,132
Ivan Dodig,2011,First,Ivan Dodig,Ivo Karlovic,NA,NA,NA,NA,146,138
Ivan Dodig,2013,Second,Ivan Dodig,Jarkko Nieminen,33,9,4,3,177,149
Ivan Dodig,2013,First,Ivan Dodig,Di Wu,50,35,58,53,139,128
Ivan Dodig,2014,First,Ivan Dodig,Ivo Karlovic,41,48,7,27,108,93
Michael Llodra,2010,First,Michael Llodra,Martin Vassallo Arguello,NA,NA,8,4,115,93
Michael Llodra,2011,First,Michael Llodra,Juan Ignacio Chela,66,22,39,20,121,100
Michael Llodra,2012,Second,Michael Llodra,Alex Jr. Bogomolov,12,1,8,6,151,135
Michael Llodra,2012,First,Michael Llodra,Ernests Gulbis,11,6,2,8,110,86
Illya Marchenko,2010,First,Illya Marchenko,Carlos Moya,NA,NA,12,4,118,99
